agegroup,gender,education,country,ethnicity,neuroticism,extraversion,opentoexperience,agreeableness,conscientiousness,impulsiveness,sensation,caffeine,chocolate,nicotine,alcohol,amphetamine,amylnitrite,benzodiaz,cannabis,cocaine,crack,ecstasy,heroin,ketamine,legalhighs,LSD,methadone,mushrooms,volatiles,any,severity,UseLevel
25-34,female,1.98437,UK,White,-0.92104,0.00332,1.06238,2.03972,2.04506,-1.37983,-0.21575,5.0,5.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,4.0,low
18-24,male,-0.61113,USA,White,-0.67825,3.27393,1.88511,-0.01729,-0.78155,0.52975,1.2247,5.0,6.0,6.0,6.0,0.0,0.0,0.0,6.0,4.0,0.0,4.0,0.0,5.0,4.0,5.0,0.0,3.0,3.0,TRUE,40.0,high
25-34,female,0.45468,UK,White,-0.24649,0.47617,0.7233,1.61108,-0.14277,-0.71126,0.7654,5.0,6.0,5.0,5.0,4.0,3.0,0.0,4.0,2.0,0.0,4.0,0.0,3.0,5.0,0.0,0.0,3.0,0.0,TRUE,33.0,high
18-24,male,-1.43719,UK,White,-0.92104,-0.57545,0.7233,1.2861,-0.27607,-0.71126,-0.21575,5.0,4.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,TRUE,14.0,high
25-34,female,1.16365,UK,White,0.41667,-0.57545,0.58331,0.43852,-1.0145,1.86203,0.7654,6.0,5.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,6.0,low
25-34,male,0.45468,USA,White,0.91093,-0.80615,1.06238,-0.45321,1.13407,0.88113,1.92173,6.0,6.0,3.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,0.0,TRUE,32.0,high
25-34,female,1.16365,USA,White,-0.67825,-0.43999,-0.01928,0.59042,-0.27607,-0.71126,-0.84637,6.0,5.0,2.0,5.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,TRUE,14.0,high
25-34,male,-0.05921,USA,Other,-0.46725,2.32338,2.44904,1.2861,1.30612,-0.21712,0.40148,5.0,4.0,6.0,4.0,2.0,0.0,3.0,6.0,4.0,2.0,5.0,0.0,5.0,4.0,6.0,0.0,6.0,2.0,TRUE,51.0,high
35-44,female,0.45468,Australia,White,-0.24649,0.16767,-0.31776,-0.30172,0.41594,0.88113,1.2247,6.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,low
18-24,male,-0.61113,USA,White,0.82562,0.96248,-0.17779,-0.30172,-0.27607,1.29221,0.7654,6.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,TRUE,23.0,high
25-34,female,1.98437,UK,White,-0.05188,0.32197,-0.84732,-0.01729,0.41594,-1.37983,-0.84637,6.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,low
35-44,female,0.45468,UK,White,-0.67825,1.2861,-0.45174,0.94156,1.13407,0.19268,-0.84637,6.0,2.0,1.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,5.0,low
35-44,female,0.45468,Australia,White,-1.1943,-0.57545,-0.71727,0.43852,0.93949,0.88113,0.7654,6.0,6.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,1.0,low
18-24,male,-0.61113,USA,Mixed-White/Black,-1.86962,1.93886,2.90161,0.76096,0.25953,1.29221,1.2247,4.0,6.0,6.0,5.0,6.0,0.0,3.0,6.0,4.0,0.0,3.0,4.0,0.0,6.0,6.0,5.0,3.0,2.0,TRUE,54.0,high
25-34,female,0.45468,UK,White,-0.14882,0.96248,1.24033,-0.01729,0.25953,-0.21712,0.40148,6.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,TRUE,24.0,high
25-34,male,0.45468,UK,White,0.62967,0.16767,-0.17779,-0.30172,0.12331,0.19268,-0.52593,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,low
18-24,male,-0.61113,USA,White,1.72012,0.32197,-1.11902,-0.45321,-2.42317,2.90161,-0.21575,6.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,6.0,low
55-64,female,-0.05921,Canada,White,-0.79151,0.80523,-0.01928,0.94156,3.46436,-0.71126,-0.84637,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,1.0,low
18-24,male,-0.61113,USA,White,1.72012,0.32197,1.65653,-0.15487,-1.78169,2.90161,0.40148,6.0,5.0,3.0,6.0,3.0,3.0,5.0,5.0,3.0,3.0,6.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,TRUE,51.0,high
35-44,female,0.45468,UK,Black,-0.24649,0.00332,-0.45174,-0.01729,-0.00665,-0.71126,-2.07848,6.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,low
45-54,female,0.45468,UK,White,0.04257,-0.15487,-0.71727,0.28783,0.58489,-0.71126,-0.21575,6.0,6.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TRUE,3.0,low
25-34,male,-0.61113,USA,White,-0.14882,0.47617,0.7233,-0.60633,0.25953,-0.21712,1.2247,5.0,6.0,6.0,6.0,0.0,0.0,5.0,6.0,6.0,0.0,4.0,0.0,2.0,6.0,2.0,0.0,2.0,0.0,TRUE,39.0,high
25-34,male,-0.61113,UK,White,-0.92104,0.96248,0.88309,0.13136,-0.65253,0.19268,1.92173,6.0,6.0,6.0,6.0,1.0,2.0,0.0,6.0,2.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,TRUE,24.0,high
35-44,male,-0.05921,UK,White,-0.79151,-0.15487,-0.01928,1.81866,-0.65253,-0.21712,-1.18084,6.0,6.0,6.0,4.0,1.0,1.0,3.0,6.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,TRUE,25.0,high
35-44,male,-0.61113,UK,White,-0.79151,-0.80615,-2.09015,-1.6209,-2.18109,-2.55524,-1.18084,6.0,5.0,3.0,6.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TRUE,8.0,low
55-64,female,-1.22751,Canada,White,-0.46725,-0.43999,-1.55521,0.94156,0.7583,-1.37983,-1.54858,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,5.0,low
18-24,female,-0.61113,USA,White,0.62967,0.63779,2.90161,-1.07533,0.93949,0.88113,1.2247,6.0,4.0,5.0,5.0,3.0,0.0,0.0,6.0,3.0,0.0,5.0,0.0,0.0,3.0,4.0,3.0,4.0,0.0,TRUE,36.0,high
18-24,female,1.16365,UK,White,-1.1943,1.58487,0.29338,1.11406,1.30612,-0.21712,-0.21575,6.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,low
45-54,female,0.45468,UK,White,-1.32828,1.74091,-0.01928,0.13136,2.04506,-1.37983,-0.84637,5.0,5.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,2.0,low
35-44,female,1.98437,UK,White,0.41667,-0.15487,0.14143,-0.01729,-0.52745,-0.21712,-0.21575,5.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,2.0,low
18-24,female,1.16365,UK,White,-1.1943,0.80523,-0.84732,-0.15487,0.7583,0.19268,-0.52593,4.0,5.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,4.0,low
35-44,male,-1.43719,UK,Other,1.37297,-0.15487,-0.31776,-0.30172,-0.65253,-0.21712,0.07987,6.0,2.0,6.0,6.0,1.0,1.0,2.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,TRUE,22.0,high
55-64,female,0.45468,Canada,White,-1.69163,-1.09207,1.06238,-0.45321,-0.65253,-0.71126,0.07987,6.0,6.0,2.0,5.0,5.0,0.0,5.0,6.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,6.0,2.0,0.0,TRUE,34.0,high
18-24,female,0.45468,UK,White,-0.05188,1.2861,0.58331,0.13136,0.41594,0.88113,0.07987,6.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,low
65+,female,-1.7379,UK,White,-1.1943,-1.7625,-2.8595,-1.47955,0.25953,0.52975,-2.07848,6.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,1.0,low
25-34,female,-0.61113,UK,White,0.62967,-1.37639,-0.71727,-0.01729,-0.78155,-0.21712,0.7654,6.0,5.0,6.0,6.0,2.0,2.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,18.0,high
18-24,female,-0.61113,USA,White,-0.46725,0.80523,1.65653,0.94156,-1.38502,1.29221,0.40148,5.0,5.0,6.0,5.0,3.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,TRUE,29.0,high
35-44,female,-0.05921,UK,White,0.91093,-0.69509,1.24033,-1.21213,-1.5184,1.29221,1.92173,6.0,6.0,4.0,4.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,0.0,TRUE,24.0,high
18-24,female,-2.43591,UK,White,0.22393,-0.15487,-0.01928,-0.15487,-0.40581,0.88113,-0.84637,6.0,5.0,6.0,5.0,2.0,3.0,6.0,6.0,4.0,2.0,3.0,3.0,0.0,3.0,2.0,2.0,2.0,0.0,TRUE,44.0,high
